Maths,Physics,English,Economics,Biology
31,67,34,37,59
65,68,50,63,75
19,36,58,77,12
22,74,54,72,22
49,75,20,61,96
37,68,28,23,36
88,21,74,59,78
71,26,32,47,91
84,67,79,98,94
23,79,43,31,79
99,92,54,10,21
76,17,33,78,20
60,91,29,74,16
71,50,94,18,49
41,15,45,15,91
15,11,74,75,62
24,50,73,70,40
93,89,75,12,67
83,26,67,61,12
20,29,57,49,20
87,97,54,81,92
40,36,75,33,10
86,21,22,71,43
17,39,58,69,93
54,43,74,80,46
95,46,80,45,64
36,30,59,35,59
92,29,57,10,89
35,33,35,92,85
48,77,48,10,44
14,69,15,73,95
58,12,43,54,22
55,43,99,89,46
76,94,45,71,59
69,11,26,45,39
81,17,48,50,20
35,99,60,15,52
68,78,65,65,65
33,31,78,77,43
40,47,36,43,24
61,84,84,30,14
44,63,54,63,98
57,40,97,85,70
98,28,76,13,41
90,50,31,34,60
60,57,34,27,46
22,38,23,84,16
56,49,31,72,37
98,51,33,52,24
59,29,20,11,48
88,14,37,99,50
71,96,22,38,27
42,17,73,97,46
95,89,69,46,63
12,29,86,36,97
15,44,76,23,61
33,45,72,87,15
25,49,30,39,10
29,12,96,72,30
35,89,96,66,33
78,52,67,61,46
36,17,44,47,25
83,44,87,51,56
73,76,51,64,52
16,67,83,75,21
68,24,60,64,74
17,45,98,77,61
72,57,34,47,54
41,76,78,35,29
98,27,94,98,41
70,50,59,76,26
38,79,19,71,69
47,24,66,35,77
64,46,44,61,76
46,62,88,42,40
61,58,17,90,16
62,69,10,27,87
42,63,78,44,31
41,62,32,75,78
78,48,71,39,37
27,51,88,52,22
99,20,61,19,60
56,57,53,66,39
44,26,83,48,96
50,14,83,42,91
10,95,17,36,45
83,89,94,18,32
35,71,39,88,37
12,23,99,86,11
61,29,72,79,14
76,20,69,20,12
50,33,79,61,75
11,42,94,64,87
45,26,36,11,73
23,42,27,32,56
81,23,49,84,36
80,42,70,48,94
45,12,79,65,19
75,65,81,93,48
81,83,74,50,27
25,35,62,66,66
32,75,87,15,44
80,87,85,95,84
59,20,22,94,93
84,10,31,62,47
18,75,29,74,71
16,58,65,81,99
19,70,51,57,63
87,32,43,40,13
75,16,75,46,19
36,19,11,97,32
99,72,50,29,85
72,18,69,83,68
50,59,16,48,74
56,48,31,17,64
39,15,60,49,97
80,53,17,82,11
44,92,30,40,78
86,55,95,35,50
83,40,46,62,10
11,70,72,94,42
66,56,23,12,46
98,50,32,73,16
71,90,37,99,13
11,19,41,43,65
30,11,43,94,40
62,59,70,36,62
83,18,80,84,44
56,86,39,12,58
17,13,14,35,95
84,63,38,86,33
97,17,76,97,63
37,70,15,27,86
71,31,29,73,10
66,40,10,56,56
57,32,81,63,91
43,25,70,22,63
17,39,26,32,82
66,72,73,29,24
84,95,16,28,44
20,56,20,39,98
72,50,86,54,53
87,41,79,54,80
45,15,27,94,71
65,12,96,81,16
19,52,51,86,13
64,28,88,17,19
69,48,40,74,65
76,24,69,27,14
25,63,10,72,33
14,96,49,20,81
62,30,67,31,59
12,24,83,19,92
40,12,35,32,39
19,88,22,11,83
68,12,51,99,60
41,39,82,56,15
73,13,96,30,68
93,49,50,82,69
76,52,86,32,89
57,11,29,86,33
99,87,57,95,43
56,47,26,95,92
16,12,45,70,55
88,82,91,20,92
96,49,74,22,94
62,58,13,63,10
89,85,17,85,20
22,80,82,30,33
36,95,53,39,22
44,94,81,92,73
43,34,51,10,20
48,49,67,67,68
31,97,35,40,40
55,89,35,26,10
72,69,68,56,15
31,35,49,78,88
91,85,48,28,19
11,66,10,77,75
13,21,98,61,81
50,43,73,27,70
79,64,74,26,89
31,69,12,21,51
47,91,53,34,60
90,33,57,53,74
40,33,50,63,92
54,52,50,46,55
17,83,96,39,76
65,27,52,50,73
74,99,37,47,54
77,37,69,71,89
93,22,19,76,93
60,50,92,97,92
65,95,21,16,69
57,36,58,67,62
92,45,54,70,51
46,33,13,77,86
60,87,72,27,25
67,59,73,47,12
62,97,27,17,17
39,90,69,68,82
25,48,34,74,41
97,89,85,51,91
35,77,91,81,73
47,40,35,64,79
72,50,79,58,22
14,78,58,65,47
82,60,35,60,38
12,60,24,17,56
90,97,12,90,64
19,23,78,95,16
29,80,33,73,47
10,89,27,96,16
56,39,85,36,65
61,82,45,24,55
21,42,80,74,50
55,36,82,27,46
27,39,56,14,72
14,45,36,89,54
68,75,45,48,24
97,20,62,78,92
49,70,10,57,96
48,16,63,89,96
69,68,12,25,65
68,44,14,23,43
15,77,71,42,21
20,71,16,76,14
54,64,38,81,90
65,33,20,65,91
42,59,16,86,14
69,52,15,81,86
56,18,81,19,19
68,49,21,44,56
74,70,53,51,46
96,65,46,55,62
85,75,81,10,61
54,19,17,12,71
32,98,75,24,75
33,22,76,54,85
97,60,22,84,56
20,97,14,14,37
11,21,35,29,39
23,27,59,29,35
52,67,15,70,53
72,36,59,84,82
76,41,69,20,43
12,80,16,70,96
28,92,45,21,57
56,49,80,39,52
27,64,73,52,40
86,35,66,20,87
52,48,69,32,46
33,49,20,53,89
74,94,21,37,36
34,54,90,35,63
91,11,45,32,48
22,82,25,27,36
14,50,66,27,40
82,26,61,14,55
96,73,11,92,27
26,70,26,38,89
58,81,23,44,44
71,50,66,70,13
56,92,28,15,27
73,96,11,22,57
87,75,90,37,90
44,57,81,68,16
74,32,74,92,19
99,39,55,27,62
78,78,47,54,81
21,79,61,31,33
19,46,27,64,68
53,15,28,56,11
53,35,24,23,93
87,64,57,28,36
28,58,32,84,19
36,65,41,11,94
91,14,51,37,27
69,81,65,55,63
95,48,72,44,70
65,16,43,76,13
34,79,56,13,82
63,50,44,59,42
12,22,75,54,54
74,92,64,14,11
26,89,63,70,67
74,39,58,81,60
58,92,96,94,91
60,99,29,27,13
55,94,15,99,28
97,25,65,21,10
28,37,82,46,30
89,69,76,15,91
67,83,72,49,71
89,10,76,20,11
26,62,29,44,73
52,86,77,94,18
70,70,59,19,50
24,80,40,97,38
66,26,30,86,49
81,70,33,21,97
38,68,33,44,19
29,92,31,51,44
47,31,72,77,93
55,65,42,56,13
99,81,44,38,62
87,41,35,34,87
98,45,66,59,40
95,74,11,95,21
62,84,49,66,40
94,91,35,86,62
46,54,97,58,89
23,61,12,89,29
17,71,52,14,95
48,34,23,41,36
16,40,70,88,90
46,82,37,40,10
24,14,87,27,20
82,46,26,91,21
77,64,86,69,50
11,77,60,97,88
98,91,42,35,45
58,79,47,39,40
15,30,65,72,92
11,74,88,68,25
38,87,66,50,21
25,10,61,86,31
20,91,94,61,64
83,72,60,41,77
79,73,50,29,25
41,14,58,79,33
89,10,76,33,81
38,83,32,87,41
19,72,52,32,57
65,21,93,89,52
10,57,56,54,99
25,74,74,88,88
66,95,62,23,30
40,75,45,35,45
28,65,60,16,48
20,27,77,93,24
59,69,79,48,61
82,73,69,65,26
66,81,78,51,68
11,87,69,36,39
74,15,69,57,37
79,75,82,97,50
61,69,81,44,30
76,70,51,66,63
94,56,94,69,47
98,90,42,96,43
74,90,57,52,76
36,67,61,95,85
45,40,10,37,16
62,74,44,69,41
91,45,75,34,19
38,56,21,57,70
44,61,47,46,14
18,25,65,28,15
29,22,84,79,87
15,61,74,45,59
33,45,98,28,45
36,63,29,23,49
27,14,58,43,40
53,40,67,27,89
13,37,62,81,67
66,79,12,59,70
26,72,64,27,44
67,25,31,85,11
98,14,27,79,45
95,48,80,54,15
49,71,98,73,37
95,84,45,40,32
42,88,37,80,69
78,64,12,69,70
93,51,74,51,44
86,92,18,44,89
76,31,68,16,97
71,83,78,75,71
98,88,41,12,33
53,66,56,43,30
97,96,65,32,86
48,66,22,22,29
35,78,84,39,35
93,47,30,16,63
84,94,12,57,36
91,89,45,18,35
62,32,17,30,65
33,68,91,71,27
74,94,57,26,35
67,63,80,10,30
62,96,16,29,70
86,48,48,53,29
64,58,10,47,71
83,86,89,41,91
24,55,46,58,93
98,15,37,20,96
81,31,97,97,88
77,71,51,51,24
25,61,95,36,11
90,24,98,16,73
99,13,23,46,98
26,21,80,95,25
81,21,83,90,75
25,78,99,68,78
60,86,27,50,98
95,59,29,71,34
83,51,20,40,81
79,50,30,77,97
49,50,19,83,53
21,14,31,94,88
67,81,66,58,84
34,66,27,63,47
49,35,57,84,40
40,87,11,96,96
19,81,43,40,86
83,75,85,82,49
10,95,19,98,68
64,36,16,19,81
28,58,52,10,46
32,63,74,48,19
18,87,44,27,97
72,34,37,76,29
87,88,96,51,49
99,18,26,18,82
61,10,43,53,72
66,39,23,34,61
73,53,26,99,69
14,13,14,16,90
66,70,12,48,27
53,79,75,45,53
46,88,92,43,97
88,14,41,29,91
88,77,99,32,89
17,75,18,72,24
53,17,95,96,39
23,67,61,28,85
88,74,29,10,32
38,81,35,31,45
57,29,28,14,94
74,36,91,48,48
66,39,26,11,10
73,44,99,54,54
55,51,46,66,35
24,39,95,33,42
89,54,71,98,93
57,69,34,41,79
57,79,68,10,88
20,45,25,94,50
34,13,74,85,91
77,17,32,45,52
72,84,58,52,53
38,37,49,41,36
56,10,34,18,95
80,48,49,97,88
60,53,20,59,72
56,37,69,64,77
64,14,38,22,92
74,53,18,43,80
59,38,64,47,44
30,71,76,65,22
28,96,55,99,95
75,83,27,70,79
54,84,54,68,83
20,19,63,75,26
81,26,43,16,49
63,80,73,22,56
80,69,72,94,25
68,79,20,99,38
72,54,28,34,21
17,82,46,65,15
43,11,12,17,75
94,70,93,91,24
58,20,95,43,56
34,52,88,16,22
91,60,16,30,64
65,55,18,34,33
93,90,54,47,91
52,60,32,58,70
48,59,50,25,46
25,36,71,55,94
41,75,90,63,21
13,39,62,44,75
31,85,54,24,45
45,63,82,82,60
53,57,82,82,19
10,86,44,85,98
82,46,28,53,75
24,60,22,26,79
35,86,99,95,73
23,60,89,98,53
57,93,97,54,78
68,60,32,15,10
49,49,94,56,22
25,49,52,26,68
20,25,73,19,91
71,30,16,13,84
41,27,28,43,78
26,60,68,53,29
79,49,72,71,71
35,27,59,25,29
70,80,29,89,17
27,62,27,98,98
99,19,59,66,57
69,78,38,45,30
32,92,27,66,21
65,80,70,46,35
96,68,34,51,63
44,97,50,55,83
75,80,60,20,55
87,86,25,43,10
40,46,44,40,95
86,68,79,57,86
47,23,79,42,67
20,42,37,98,69
64,38,59,79,22
78,57,46,97,81
78,98,90,54,91
67,23,50,56,29
94,19,57,62,45
73,15,90,23,28
77,37,38,59,30
51,15,61,56,65
95,91,43,61,84
92,40,13,48,18
87,13,34,87,46
49,32,43,43,80
98,39,69,78,28
85,83,48,70,26
48,11,84,25,13
77,28,56,93,75
14,97,34,72,24
90,56,17,77,44
53,15,90,49,27
18,93,42,10,81
15,11,85,40,92
67,55,82,20,63
78,99,27,29,96
74,66,34,53,54
58,66,93,18,19
78,91,63,12,16
17,26,46,72,78
39,23,40,27,30
86,42,75,63,83
70,31,90,49,75
93,13,75,95,44
89,85,47,92,78
47,64,34,57,34
81,87,63,16,57
13,65,46,80,58
17,91,19,59,21
59,98,51,41,72
79,69,82,26,98
71,75,54,63,46
82,25,72,62,57
14,38,33,28,90
69,37,12,26,46
62,46,58,81,69
61,80,26,67,27
38,78,48,71,78
79,31,59,70,78
35,48,94,65,38
58,22,60,30,73
19,33,12,43,37
59,67,64,81,59
41,13,15,52,71
62,67,72,83,26
70,28,41,75,40
37,43,23,11,86
42,66,84,95,91
20,41,49,47,31
39,61,33,90,75
52,13,60,16,71
20,50,18,47,75
11,96,11,44,96
25,21,81,78,29
37,58,46,49,53
34,11,36,18,27
91,99,62,88,53
20,79,73,35,78
61,38,76,46,34
20,13,44,68,19
40,97,95,81,14
64,29,87,27,76
79,50,87,13,88
92,28,10,98,42
11,80,44,17,60
38,23,67,23,94
43,49,54,91,85
